,Pick,Team,Name,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year,Height,Weight,Birthday,Position1,Position2,Position3,All_Star_apps,All_NBA_apps,All_Def_apps,HOF
508,26,POR,Rolando Ferreira,Houston,1,12,34,9,13,1,.056,,.875,2.8,0.8,1.1,0.1,-0.2,-.352,-23.2,-0.2,1988,216cm,108kg,1964-05-24,Center,Center,Center,0,0,0,0
509,27,SAS,Shelton Jones,St. John's,1,51,682,244,113,42,.445,.000,.725,13.4,4.8,2.2,0.8,0.3,.022,-3.3,-0.2,1988,206cm,95kg,1966-04-06,Small Forward,Small Forward,Small Forward,0,0,0,0
510,28,PHO,Andrew Lang,Arkansas,12,737,15344,4431,3511,424,.470,.250,.744,20.8,6.0,4.8,0.6,28.6,.089,-1.8,0.7,1988,211cm,111kg,1966-06-28,Center,Center,Center,0,0,0,0
511,29,SAC,Vinny Del Negro,NC State,12,771,19211,7038,1810,2484,.475,.359,.840,24.9,9.1,2.3,3.2,40.6,.101,-0.7,6.1,1988,193cm,83kg,1966-08-09,Point Guard,Shooting Guard,Point Guard,0,0,0,0
512,30,DET,Fennis Dembo,Wyoming,1,31,74,36,23,5,.333,.000,.800,2.4,1.2,0.7,0.2,-0.1,-.037,-10.8,-0.2,1988,196cm,97kg,1966-01-24,Small Forward,Small Forward,Small Forward,0,0,0,0
513,31,PHI,Everette Stephens,Purdue,2,38,215,71,23,39,.333,.200,.792,5.7,1.9,0.6,1.0,-0.4,-.083,-4.7,-0.1,1988,188cm,79kg,1966-10-21,Point Guard,Point Guard,Point Guard,0,0,0,0
514,32,NJN,Charles Shackleford,NC State,6,303,4614,1625,1448,170,.483,.000,.654,15.2,5.4,4.8,0.6,7.3,.076,-3.0,-1.2,1988,208cm,102kg,1966-04-22,Center,Power Forward,Center,0,0,0,0
515,33,MIA,Grant Long,Eastern Michigan,15,1003,28514,9518,6154,1716,.467,.283,.761,28.4,9.5,6.1,1.7,60.1,.101,-0.6,10.2,1988,203cm,102kg,1966-03-12,Power Forward,Power Forward,Power Forward,0,0,0,0
516,34,CHH,Tom Tolbert,Arizona,7,312,5680,2030,1251,285,.460,.296,.716,18.2,6.5,4.0,0.9,6.6,.056,-3.4,-2.0,1988,201cm,106kg,1965-10-16,Power Forward,Small Forward,Power Forward,0,0,0,0
517,35,MIA,Sylvester Gray,Memphis,1,55,1220,440,286,117,.420,.250,.673,22.2,8.0,5.2,2.1,0.7,.028,-2.6,-0.2,1988,198cm,104kg,1967-07-08,Small Forward,Small Forward,Small Forward,0,0,0,0
518,36,WSB,Ledell Eackles,New Orleans,7,441,8917,4783,979,740,.445,.336,.767,20.2,10.8,2.2,1.7,10.8,.058,-2.3,-0.7,1988,196cm,99kg,1966-11-24,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
519,37,NYK,Greg Butler,Stanford,3,55,210,76,53,4,.354,.000,.714,3.8,1.4,1.0,0.1,-0.3,-.078,-12.7,-0.6,1988,211cm,108kg,1966-03-11,Center,Center,Center,0,0,0,0
520,38,PHO,Dean Garrett,Indiana,6,359,6969,1737,1810,204,.480,,.677,19.4,4.8,5.0,0.6,14.1,.097,-1.4,1.1,1988,208cm,102kg,1966-11-27,Center,Center,Center,0,0,0,0
521,39,MIL,Tito Horford,Miami (FL),3,63,376,93,84,5,.300,,.628,6.0,1.5,1.3,0.1,-0.5,-.069,-9.4,-0.7,1988,216cm,111kg,1966-01-19,Center,Center,Center,0,0,0,0
522,40,MIA,Orlando Graham,Auburn University at Montgomery,1,7,22,8,11,0,.300,,.500,3.1,1.1,1.6,0.0,0.0,-.047,-13.2,-0.1,1988,203cm,99kg,1965-05-05,Power Forward,Power Forward,Power Forward,0,0,0,0
523,41,GSW,Keith Smart,Indiana,1,2,12,2,1,2,.000,.000,1.000,6.0,1.0,0.5,1.0,0.0,-.175,-14.1,0.0,1988,185cm,79kg,1964-09-21,Point Guard,Point Guard,Point Guard,0,0,0,0
524,42,UTA,Jeff Moe,Iowa,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
525,43,DEN,Todd Mitchell,Purdue,1,24,353,123,50,21,.443,,.578,14.7,5.1,2.1,0.9,-0.1,-.008,-5.6,-0.3,1988,201cm,92kg,1966-07-26,Small Forward,Small Forward,Small Forward,0,0,0,0
526,44,ATL,Anthony Taylor,Oregon,1,21,368,144,34,43,.397,.000,.750,17.5,6.9,1.6,2.0,0.2,.029,-2.1,0.0,1988,193cm,79kg,1965-11-30,Point Guard,Point Guard,Point Guard,0,0,0,0
527,45,LAC,Tom Garrick,Rhode Island,4,251,4718,1359,501,853,.469,.083,.775,18.8,5.4,2.0,3.4,5.9,.060,-1.4,0.7,1988,188cm,83kg,1966-07-07,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
528,46,DAL,Morlon Wiley,Cal State Long Beach,7,295,3843,1078,341,722,.412,.354,.707,13.0,3.7,1.2,2.4,2.7,.034,-1.9,0.1,1988,193cm,83kg,1966-09-24,Point Guard,Point Guard,Point Guard,0,0,0,0
529,47,DEN,Vernon Maxwell,Florida,13,855,24309,10912,2200,2912,.398,.320,.733,28.4,12.8,2.6,3.4,27.4,.054,-1.2,5.1,1988,193cm,81kg,1965-09-12,Point Guard,Shooting Guard,Point Guard,0,0,0,0
530,48,DET,Micheal Williams,Baylor,10,413,10403,4533,1050,2385,.464,.227,.868,25.2,11.0,2.5,5.8,28.5,.132,2.3,11.2,1988,188cm,79kg,1966-07-23,Point Guard,Point Guard,Point Guard,0,0,0,0
531,49,DAL,Jose Vargas,LSU,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
532,50,PHO,Steve Kerr,Arizona,15,910,16207,5437,1060,1658,.479,.454,.864,17.8,6.0,1.2,1.8,47.2,.140,0.8,11.6,1988,190cm,79kg,1965-09-27,Point Guard,Shooting Guard,Point Guard,0,0,0,0
533,51,LAC,Rob Lock,Kentucky,1,20,110,30,32,4,.281,,.800,5.5,1.5,1.6,0.2,-0.2,-.083,-9.3,-0.2,1988,206cm,102kg,1966-05-22,Power Forward,Power Forward,Power Forward,0,0,0,0
534,52,NJN,Derrick Hamilton,University of Southern Mississippi,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
535,53,POR,Anthony Mason,Tennessee State,13,882,30605,9656,7279,2963,.509,.167,.709,34.7,10.9,8.3,3.4,88.3,.138,1.0,23.2,1988,201cm,113kg,1966-12-14,Center,Power Forward,Small Forward,1,0,0,0
536,54,ATL,Jorge Gonzalez,,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
537,55,PHO,Rodney Johns,Grand Canyon University,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
538,56,SAS,Barry Sumpter,Austin Peay State University,1,1,1,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,-.894,-49.2,0.0,1988,211cm,97kg,1965-11-11,Power Forward,Power Forward,Power Forward,0,0,0,0
539,57,PHI,Herman Montenegro,LSU,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
540,58,CHH,Jeff Moore,Auburn,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
541,59,MIA,Nate Johnston,University of Tampa,1,21,87,46,23,1,.375,.250,.692,4.1,2.2,1.1,0.0,0.1,.050,-4.5,-0.1,1988,203cm,95kg,1966-12-18,Power Forward,Small Forward,Power Forward,0,0,0,0
542,60,WSB,Ed Davender,Kentucky,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
543,61,IND,Herbert Crook,Louisville,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
544,62,CHI,Derrick Lewis,Maryland,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
545,63,MIL,Mike Jones,Auburn,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
546,64,CLE,Winston Bennett,Kentucky,3,136,2157,648,414,120,.425,.000,.694,15.9,4.8,3.0,0.9,1.7,.037,-5.3,-1.8,1988,201cm,95kg,1965-02-09,Small Forward,Small Forward,Small Forward,0,0,0,0
547,65,SEA,Corey Gaines,Loyola Marymount University,5,80,1002,248,69,247,.424,.229,.736,12.5,3.1,0.9,3.1,1.1,.052,-2.3,-0.1,1988,190cm,88kg,1965-06-01,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
548,66,DEN,Dwight Boyd,Memphis,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
549,67,UTA,Ricky Grace,Oklahoma,1,3,8,4,1,1,.667,,.000,2.7,1.3,0.3,0.3,0.0,.103,-3.9,0.0,1988,185cm,81kg,1967-08-20,Point Guard,Point Guard,Point Guard,0,0,0,0
550,68,ATL,Darryl Middleton,Baylor,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
551,69,NYK,Phil Stinnie,Virginia Commonwealth,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
552,70,DAL,Jerry Johnson,Florida Southern College,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
553,71,POR,Craig Neal,Georgia Tech,2,63,625,158,45,155,.373,.302,.600,9.9,2.5,0.7,2.5,-0.4,-.030,-5.8,-0.6,1988,196cm,74kg,1964-02-16,Point Guard,Point Guard,Point Guard,0,0,0,0
554,72,DET,Lee Johnson,Norfolk State,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
555,74,BOS,Gerald Paddio,UNLV,3,129,1625,715,184,134,.421,.242,.746,12.6,5.5,1.4,1.0,0.1,.002,-5.3,-1.3,1988,201cm,92kg,1965-04-21,Small Forward,Small Forward,Small Forward,0,0,0,0
556,75,SAS,Archie Marshall,Kansas,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,
557,1,SAC,Pervis Ellison,Louisville,11,474,11593,4494,3170,691,.510,.050,.689,24.5,9.5,6.7,1.5,21.8,.090,-0.5,4.4,1989,206cm,95kg,1967-04-03,Center,Power Forward,Center,0,0,0,0
558,2,LAC,Danny Ferry,Duke,13,917,18133,6439,2550,1185,.446,.393,.840,19.8,7.0,2.8,1.3,34.8,.092,-0.9,4.9,1989,208cm,104kg,1966-10-17,Power Forward,Small Forward,Power Forward,0,0,0,0
559,3,SAS,Sean Elliott,Arizona,12,742,24502,10544,3204,1897,.465,.375,.799,33.0,14.2,4.3,2.6,55.7,.109,0.2,13.5,1989,203cm,92kg,1968-02-02,Small Forward,Small Forward,Small Forward,2,0,0,0
560,4,MIA,Glen Rice,Michigan,15,1000,34985,18336,4387,2097,.456,.400,.846,35.0,18.3,4.4,2.1,88.7,.122,0.8,24.9,1989,201cm,97kg,1967-05-28,Small Forward,Small Forward,Small Forward,3,2,0,0
561,5,CHH,J.R. Reid,UNC,11,672,15370,5680,3381,639,.472,.135,.716,22.9,8.5,5.0,1.0,22.5,.070,-2.9,-3.7,1989,206cm,112kg,1968-03-31,Center,Power Forward,Center,0,0,0,0
562,6,CHI,Stacey King,Oklahoma,8,438,7406,2819,1460,387,.478,.235,.707,16.9,6.4,3.3,0.9,10.9,.071,-3.4,-2.7,1989,211cm,104kg,1967-01-29,Center,Power Forward,Center,0,0,0,0
563,7,IND,George McCloud,Florida State,12,766,17429,6925,2342,1769,.402,.358,.810,22.8,9.0,3.1,2.3,24.6,.068,-0.8,5.3,1989,198cm,92kg,1967-05-27,Small Forward,Small Forward,Small Forward,0,0,0,0
564,8,DAL,Randy White,Louisiana Tech,5,281,5382,2083,1366,175,.401,.193,.707,19.2,7.4,4.9,0.6,1.9,.017,-5.0,-4.0,1989,203cm,108kg,1967-11-04,Power Forward,Power Forward,Power Forward,0,0,0,0
565,9,WSB,Tom Hammonds,Georgia Tech,12,687,10419,3617,2243,378,.480,.000,.691,15.2,5.3,3.3,0.6,14.7,.068,-3.8,-4.7,1989,206cm,97kg,1967-03-27,Power Forward,Power Forward,Power Forward,0,0,0,0
566,10,MIN,Pooh Richardson,UCLA,10,639,19399,7083,1807,4180,.444,.329,.652,30.4,11.1,2.8,6.5,26.7,.066,0.2,10.5,1989,185cm,81kg,1966-05-14,Point Guard,Point Guard,Point Guard,0,0,0,0
567,11,ORL,Nick Anderson,Illinois,13,800,24922,11529,4064,2087,.446,.356,.667,31.2,14.4,5.1,2.6,55.3,.106,1.9,24.7,1989,198cm,92kg,1968-01-20,Small Forward,Shooting Guard,Small Forward,0,0,0,0
568,12,NJN,Mookie Blaylock,Oklahoma,13,889,31026,11962,3659,5972,.409,.336,.736,34.9,13.5,4.1,6.7,71.8,.111,3.0,39.2,1989,183cm,81kg,1967-03-20,Point Guard,Point Guard,Point Guard,1,0,6,0
569,13,BOS,Michael Smith,BYU,3,141,1328,698,212,142,.474,.150,.835,9.4,5.0,1.5,1.0,1.4,.049,-3.6,-0.5,1989,208cm,102kg,1965-05-19,Power Forward,Power Forward,Power Forward,0,0,0,0
570,14,GSW,Tim Hardaway,Texas-El Paso,13,867,30626,15373,2855,7095,.431,.355,.782,35.3,17.7,3.3,8.2,85.0,.133,3.1,39.6,1989,183cm,79kg,1966-09-01,Point Guard,Point Guard,Point Guard,5,5,0,0
571,15,DEN,Todd Lichti,Stanford,5,237,4240,1870,505,325,.460,.244,.789,17.9,7.9,2.1,1.4,5.6,.063,-2.5,-0.5,1989,193cm,92kg,1967-01-08,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
572,16,SEA,Dana Barros,Boston College,14,850,19480,8901,1609,2837,.460,.411,.858,22.9,10.5,1.9,3.3,49.6,.122,1.7,18.0,1989,180cm,73kg,1967-04-13,Point Guard,Shooting Guard,Point Guard,1,0,0,0
573,17,SEA,Shawn Kemp,Trinity Valley CC,14,1051,29293,15347,8834,1704,.488,.277,.741,27.9,14.6,8.4,1.6,89.5,.147,0.6,19.4,1989,208cm,104kg,1969-11-26,Center,Power Forward,Center,6,3,0,0
574,18,CHI,B.J. Armstrong,Iowa,11,747,17790,7320,1321,2479,.477,.425,.856,23.8,9.8,1.8,3.3,45.0,.121,-0.2,8.1,1989,188cm,79kg,1967-09-09,Point Guard,Point Guard,Point Guard,1,0,0,0
575,19,PHI,Kenny Payne,Louisville,4,144,1167,508,170,61,.410,.293,.859,8.1,3.5,1.2,0.4,-0.1,-.005,-4.9,-0.9,1989,203cm,88kg,1966-11-25,Small Forward,Small Forward,Small Forward,0,0,0,0
576,20,CHI,Jeff Sanders,Georgia Southern University,4,55,462,112,103,25,.395,,.609,8.4,2.0,1.9,0.5,-0.1,-.008,-6.3,-0.5,1989,203cm,102kg,1966-01-14,Power Forward,Small Forward,Power Forward,0,0,0,0
577,21,UTA,Blue Edwards,East Carolina University,10,704,18409,7585,2376,1409,.475,.335,.779,26.1,10.8,3.4,2.0,24.2,.063,-1.6,1.9,1989,193cm,90kg,1965-10-31,Small Forward,Shooting Guard,Small Forward,0,0,0,0
578,22,POR,Byron Irvin,Missouri,3,87,849,451,123,73,.471,.350,.722,9.8,5.2,1.4,0.8,2.1,.121,0.6,0.6,1989,196cm,86kg,1966-12-02,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
579,23,ATL,Roy Marble,Iowa,2,29,194,55,32,12,.257,.000,.594,6.7,1.9,1.1,0.4,-0.5,-.122,-8.8,-0.3,1989,198cm,86kg,1966-12-13,Small Forward,Shooting Guard,Small Forward,0,0,0,0
580,24,PHO,Anthony Cook,Arizona,4,116,1499,418,428,34,.439,.000,.524,12.9,3.6,3.7,0.3,1.0,.033,-3.7,-0.7,1989,206cm,92kg,1967-03-19,Power Forward,Power Forward,Power Forward,0,0,0,0
581,25,CLE,John Morton,Seton Hall,3,128,1879,609,161,342,.386,.224,.787,14.7,4.8,1.3,2.7,0.5,.013,-3.0,-0.5,1989,190cm,81kg,1967-05-18,Small Forward,Shooting Guard,Small Forward,0,0,0,0
582,26,LAL,Vlade Divac,,16,1134,33838,13398,9326,3541,.495,.235,.692,29.8,11.8,8.2,3.1,96.4,.137,2.3,36.3,1989,216cm,110kg,1968-02-03,Center,Center,Center,1,0,0,Hall of Fame
583,27,DET,Kenny Battle,Illinois,4,134,1795,627,327,106,.504,.133,.725,13.4,4.7,2.4,0.8,3.7,.098,-0.4,0.7,1989,198cm,95kg,1964-10-10,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
584,28,MIA,Sherman Douglas,Syracuse,12,765,21148,8425,1672,4536,.484,.267,.678,27.6,11.0,2.2,5.9,32.9,.075,-0.3,9.1,1989,183cm,81kg,1966-09-15,Point Guard,Point Guard,Point Guard,0,0,0,0
585,29,CHH,Dyron Nix,Tennessee,1,20,109,39,26,5,.359,,.688,5.5,2.0,1.3,0.3,0.0,-.015,-5.8,-0.1,1989,201cm,95kg,1967-02-11,Small Forward,Small Forward,Small Forward,0,0,0,0
586,30,MIL,Frank Kornet,Vanderbilt,2,89,595,171,95,30,.369,.263,.596,6.7,1.9,1.1,0.3,0.0,-.004,-6.2,-0.6,1989,206cm,102kg,1967-01-27,Power Forward,Power Forward,Power Forward,0,0,0,0
587,31,LAC,Jeff Martin,Murray State,2,143,2685,956,290,109,.417,.282,.694,18.8,6.7,2.0,0.8,2.1,.038,-3.2,-0.8,1989,196cm,88kg,1967-01-14,Point Guard,Shooting Guard,Point Guard,0,0,0,0
588,32,NJN,Stanley Brundy,DePaul,1,16,128,37,26,3,.500,,.389,8.0,2.3,1.6,0.2,0.2,.057,-3.1,0.0,1989,198cm,95kg,1967-11-13,Small Forward,Small Forward,Small Forward,0,0,0,0
589,33,LAC,Jay Edwards,Indiana,1,4,26,7,2,4,.429,.000,.333,6.5,1.8,0.5,1.0,0.0,.022,-4.0,0.0,1989,193cm,83kg,1969-01-03,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
590,34,MIN,Gary Leonard,Missouri,3,31,149,44,34,2,.459,.000,.500,4.8,1.4,1.1,0.1,0.1,.029,-6.9,-0.2,1989,216cm,113kg,1967-02-16,Center,Center,Center,0,0,0,0
591,35,DAL,Pat Durham,Colorado State,2,64,930,323,108,57,.469,.192,.667,14.5,5.0,1.7,0.9,0.7,.037,-2.0,0.0,1989,201cm,95kg,1967-03-10,Small Forward,Small Forward,Small Forward,0,0,0,0
592,36,POR,Clifford Robinson,UConn,18,1380,42561,19591,6306,3094,.438,.356,.689,30.8,14.2,4.6,2.2,89.7,.101,0.5,26.6,1989,208cm,102kg,1966-12-16,Center,Power Forward,Small Forward,1,0,2,0
593,37,ORL,Michael Ansley,Alabama,3,149,2143,1026,621,67,.513,,.722,14.4,6.9,4.2,0.4,6.4,.142,-1.0,0.6,1989,201cm,102kg,1967-02-08,Small Forward,Small Forward,Small Forward,0,0,0,0
594,38,MIN,Doug West,Villanova,12,676,16649,6477,1670,1292,.481,.191,.801,24.6,9.6,2.5,1.9,17.7,.051,-3.0,-4.2,1989,198cm,90kg,1967-05-27,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
595,39,WSB,Ed Horton,Iowa,1,45,374,202,108,19,.494,.000,.609,8.3,4.5,2.4,0.4,0.4,.050,-4.9,-0.3,1989,203cm,104kg,1967-12-17,Power Forward,Power Forward,Power Forward,0,0,0,0
596,40,BOS,Dino Rađa,,4,224,7308,3733,1883,356,.497,.000,.735,32.6,16.7,8.4,1.6,14.3,.094,-0.4,3.0,1989,,,,,,,,,,
597,41,WSB,Doug Roth,Tennessee,1,42,412,81,120,20,.430,.000,.500,9.8,1.9,2.9,0.5,0.4,.052,-5.3,-0.3,1989,211cm,115kg,1967-08-24,Center,Center,Center,0,0,0,0
598,42,DEN,Michael Cutright,McNeese State University,,,,,,,,,,,,,,,,,,1989,,,,,,,,,,
599,43,CLE,Chucky Brown,NC State,13,694,11962,4125,2148,549,.491,.227,.699,17.2,5.9,3.1,0.8,19.0,.076,-2.7,-2.0,1989,201cm,97kg,1968-02-29,Power Forward,Small Forward,Power Forward,0,0,0,0
600,44,PHI,Reggie Cross,Hawaii,,,,,,,,,,,,,,,,,,1989,,,,,,,,,,
601,45,MIA,Scott Haffner,University of Evansville,2,50,609,213,55,89,.403,.130,.667,12.2,4.3,1.1,1.8,-0.1,-.012,-5.1,-0.5,1989,190cm,81kg,1966-02-02,Point Guard,Point Guard,Point Guard,0,0,0,0
602,46,PHO,Ricky Blanton,LSU,1,2,13,6,3,1,.429,,,6.5,3.0,1.5,0.5,0.0,.088,-0.3,0.0,1989,201cm,97kg,1966-04-21,Small Forward,Small Forward,Small Forward,0,0,0,0
603,47,DEN,Reggie Turner,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,,1989,,,,,,,,,,
604,48,UTA,Junie Lewis,University of South Alabama,,,,,,,,,,,,,,,,,,1989,,,,,,,,,,
605,49,ATL,Haywoode Workman,Oral Roberts,8,359,7202,1967,819,1410,.419,.323,.764,20.1,5.5,2.3,3.9,10.7,.071,-0.7,2.4,1989,188cm,81kg,1966-01-23,Point Guard,Point Guard,Point Guard,0,0,0,0
606,50,NYK,Brian Quinnett,Washington State,3,138,1530,474,224,76,.414,.326,.677,11.1,3.4,1.6,0.6,0.9,.027,-3.7,-0.6,1989,203cm,106kg,1966-05-30,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
607,51,PHO,Mike Morrison,Loyola College in Maryland,1,36,153,72,20,11,.338,.286,.800,4.3,2.0,0.6,0.3,-0.3,-.106,-10.5,-0.3,1989,193cm,88kg,1967-08-16,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
608,53,DAL,Jeff Hodge,University of South Alabama,,,,,,,,,,,,,,,,,,1989,,,,,,,,,,
609,54,PHI,Toney Mack,Georgia,,,,,,,,,,,,,,,,,,1989,,,,,,,,,,
610,1,NJN,Derrick Coleman,Syracuse,15,781,25903,12884,7232,1985,.447,.295,.769,33.2,16.5,9.3,2.5,64.3,.119,1.4,22.3,1990,208cm,104kg,1967-06-21,Center,Power Forward,Center,1,2,0,0
611,2,SEA,Gary Payton,Oregon State,17,1335,47117,21813,5269,8966,.466,.317,.729,35.3,16.3,3.9,6.7,145.5,.148,3.3,62.5,1990,193cm,81kg,1968-07-23,Point Guard,Point Guard,Point Guard,9,9,9,Hall of Fame
612,3,DEN,Mahmoud Abdul-Rauf,LSU,9,586,15628,8553,1087,2079,.442,.354,.905,26.7,14.6,1.9,3.5,25.2,.077,-0.8,4.5,1990,185cm,73kg,1969-03-09,Point Guard,Point Guard,Point Guard,0,0,0,0
613,4,ORL,Dennis Scott,Georgia Tech,10,629,17983,8094,1774,1296,.417,.397,.793,28.6,12.9,2.8,2.1,33.4,.089,0.2,9.9,1990,203cm,103kg,1968-09-05,Small Forward,Shooting Guard,Small Forward,0,0,0,0
614,5,CHH,Kendall Gill,Illinois,15,966,29481,12914,4002,2945,.434,.300,.754,30.5,13.4,4.1,3.0,47.8,.078,0.1,15.8,1990,196cm,88kg,1968-05-25,Small Forward,Shooting Guard,Small Forward,0,0,0,0
615,6,MIN,Felton Spencer,Louisville,12,640,12298,3354,3436,213,.484,.000,.658,19.2,5.2,5.4,0.3,20.9,.081,-4.3,-7.0,1990,213cm,120kg,1968-01-15,Center,Center,Center,0,0,0,0
616,7,SAC,Lionel Simmons,La Salle,7,454,13472,5833,2833,1498,.433,.305,.771,29.7,12.8,6.2,3.3,16.9,.060,0.0,6.7,1990,201cm,95kg,1968-11-14,Small Forward,Small Forward,Small Forward,0,0,0,0
617,8,LAC,Bo Kimble,Loyola Marymount University,3,105,1336,574,162,98,.386,.291,.728,12.7,5.5,1.5,0.9,0.1,.004,-5.7,-1.2,1990,193cm,86kg,1966-04-09,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
618,9,MIA,Willie Burton,Minnesota,8,316,6666,3243,932,393,.424,.345,.786,21.1,10.3,2.9,1.2,9.1,.065,-2.5,-0.9,1990,203cm,95kg,1968-05-26,Small Forward,Small Forward,Small Forward,0,0,0,0
619,10,ATL,Rumeal Robinson,Michigan,6,336,6098,2546,606,1179,.432,.344,.611,18.1,7.6,1.8,3.5,5.2,.041,-1.5,0.8,1990,188cm,88kg,1966-11-13,Point Guard,Point Guard,Point Guard,0,0,0,0
620,11,GSW,Tyrone Hill,Xavier,14,801,22388,7532,6854,647,.502,.000,.643,28.0,9.4,8.6,0.8,56.2,.120,-1.9,0.8,1990,206cm,108kg,1968-03-19,Center,Power Forward,Center,1,0,0,0
621,12,HOU,Alec Kessler,Georgia,4,210,2937,1084,751,81,.426,.417,.744,14.0,5.2,3.6,0.4,2.0,.033,-5.8,-2.8,1990,211cm,104kg,1967-01-13,Center,Power Forward,Center,0,0,0,0
622,13,LAC,Loy Vaught,Michigan,11,689,16993,6984,4881,652,.504,.244,.718,24.7,10.1,7.1,0.9,35.8,.101,-1.5,2.2,1990,206cm,104kg,1968-02-27,Power Forward,Power Forward,Power Forward,0,0,0,0
623,14,SAC,Travis Mays,Texas,3,115,2964,1273,233,326,.410,.362,.749,25.8,11.1,2.0,2.8,2.4,.039,-2.6,-0.5,1990,188cm,86kg,1968-06-19,Point Guard,Point Guard,Point Guard,0,0,0,0
624,15,MIA,Dave Jamerson,Ohio University,3,90,594,306,77,61,.392,.277,.860,6.6,3.4,0.9,0.7,0.2,.018,-3.9,-0.3,1990,196cm,86kg,1967-08-13,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
625,16,MIL,Terry Mills,Michigan,11,678,16422,7175,3680,891,.457,.384,.781,24.2,10.6,5.4,1.3,33.3,.097,-0.6,5.9,1990,208cm,104kg,1967-12-21,Power Forward,Power Forward,Power Forward,0,0,0,0
626,17,NYK,Jerrod Mustaf,Maryland,4,179,1902,721,452,99,.449,.000,.648,10.6,4.0,2.5,0.6,1.7,.043,-4.1,-1.0,1990,208cm,107kg,1969-10-28,Power Forward,Power Forward,Power Forward,0,0,0,0
627,18,SAC,Duane Causwell,Temple,11,541,9409,2648,2273,243,.507,.286,.618,17.4,4.9,4.2,0.4,15.8,.081,-2.3,-0.7,1990,213cm,108kg,1968-05-31,Center,Center,Center,0,0,0,0
628,19,BOS,Dee Brown,Jacksonville University,12,608,16843,6758,1569,2227,.436,.357,.825,27.7,11.1,2.6,3.7,33.4,.095,0.8,11.6,1990,185cm,72kg,1968-11-29,Point Guard,Shooting Guard,Point Guard,0,0,0,0
629,20,MIN,Gerald Glass,Ole Miss,4,201,3347,1553,512,298,.433,.236,.643,16.7,7.7,2.5,1.5,1.8,.025,-1.9,0.1,1990,196cm,100kg,1967-11-12,Small Forward,Small Forward,Small Forward,0,0,0,0
630,21,PHO,Jayson Williams,St. John's,9,475,9805,3472,3584,287,.440,.125,.606,20.6,7.3,7.5,0.6,20.0,.098,-2.8,-2.1,1990,206cm,108kg,1968-02-22,Center,Power Forward,Center,1,0,0,0
631,22,NJN,Tate George,UConn,4,177,2019,736,180,325,.414,.071,.820,11.4,4.2,1.0,1.8,1.3,.032,-3.5,-0.8,1990,196cm,86kg,1968-05-29,Point Guard,Shooting Guard,Point Guard,0,0,0,0
632,23,SAC,Anthony Bonner,Saint Louis,6,318,7372,2199,1726,442,.468,.125,.590,23.2,6.9,5.4,1.4,10.8,.070,-2.0,0.1,1990,203cm,97kg,1968-06-08,Power Forward,Small Forward,Power Forward,0,0,0,0
633,24,SAS,Dwayne Schintzius,Florida,8,217,1950,587,536,93,.404,.125,.638,9.0,2.7,2.5,0.4,1.0,.024,-5.0,-1.5,1990,216cm,117kg,1968-10-14,Center,Center,Center,0,0,0,0
634,25,POR,Alaa Abdelnaby,Duke,5,256,3200,1465,846,85,.502,.000,.701,12.5,5.7,3.3,0.3,4.8,.072,-3.8,-1.5,1990,208cm,108kg,1968-06-24,Power Forward,Power Forward,Power Forward,0,0,0,0
